COD_ETU;Note : TLBC3104;Résultat : TLBC3104;Session : TLBC3104;Année : TLBC3104;Note : TLBC3204;Résultat : TLBC3204;Session : TLBC3204;Année : TLBC3204;Note : TLBC3304;Résultat : TLBC3304;Session : TLBC3304;Année : TLBC3304;Note : TLBC3404;Résultat : TLBC3404;Session : TLBC3404;Année : TLBC3404;Note : TLBC3504;Résultat : TLBC3504;Session : TLBC3504;Année : TLBC3504;Note : TLBC3604;Résultat : TLBC3604;Session : TLBC3604;Année : TLBC3604;Note : TLBC3004;Résultat : TLBC3004;Session : TLBC3004;Année : TLBC3004;Note : TLBC4104;Résultat : TLBC4104;Session : TLBC4104;Année : TLBC4104;Note : TLBC4204;Résultat : TLBC4204;Session : TLBC4204;Année : TLBC4204;Note : TLBC4304;Résultat : TLBC4304;Session : TLBC4304;Année : TLBC4304;Note : TLBC4404;Résultat : TLBC4404;Session : TLBC4404;Année : TLBC4404;Note : TLBC4504;Résultat : TLBC4504;Session : TLBC4504;Année : TLBC4504;Note : TLBC4604;Résultat : TLBC4604;Session : TLBC4604;Année : TLBC4604;Note : TLBC4004;Résultat : TLBC4004;Session : TLBC4004;Année : TLBC4004
12011598;11 375;V;1;2015;8.3;AC;2;2013;12.2;V;1;2013;3;NV;2;2021;1;NV;2;2021;0;NRA;1;2021;5 979;NV;2;2021;14.5;V;1;2019;12.6;V;1;2019;18;V;1;2019;10;V;2;2016;10.75;V;1;2019;11;V;1;2018;12 808;V;1;2019
13012823;0;NRA;1;2021;10;V;2;2018;;;;;;;;;10;V;2;2016;0;NRA;1;2021;;;1;2021;9 682;AC;2;2016;10;V;2;2016;10;V;2;2016;13.5;V;1;2015;11 375;V;1;2016;10;V;1;2014;10.76;V;2;2016
13014984;12.25;V;1;2015;0;NRA;1;2021;10 075;V;1;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;3 721;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;14.7;V;1;2018;13;V;1;2017;4 617;NV;2;2021
14000415;10.75;V;1;2016;0;NRA;1;2021;10;V;1;2016;12 506;V;1;2016;0;NRA;1;2021;10;V;2;2018;7 209;NV;2;2021;10.5;V;1;2016;10;V;2;2015;10;V;2;2016;8;AC;2;2016;11.5;V;1;2016;10;V;2;2016;10;V;2;2016
15000165;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;;;1;2021
15000255;7;NV;2;2021;1.4;NV;2;2021;10;V;2;2019;10;V;1;2020;3;NV;2;2021;.5;NV;2;2021;5 317;NV;2;2021;10;V;1;2020;11;V;1;2019;10;V;2;2020;10;V;2;2020;10.25;V;1;2020;12;V;1;2019;10 542;V;2;2020
15000325;0;NRA;1;2021;0;NRA;1;2021;10.1;V;1;2017;0;NRA;1;2021;12.85;V;1;2018;10.1;V;1;2017;5 508;NV;2;2021;10;V;2;2016;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;13;V;1;2016;0;NRA;1;2021;3 833;NV;2;2021
15000378;10;V;2;2016;0;NRA;1;2021;10;V;1;2016;10;V;2;2017;0;NRA;1;2021;10;V;2;2017;6 667;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10.25;V;1;2016;1 708;NV;2;2021
15001005;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2020;6.5;NV;2;2021;.25;NV;2;2021;0;NRA;1;2021;2 792;NV;2;2021;11 252;V;1;2016;13.6;V;1;2019;17;V;1;2019;10;V;2;2018;13.7;V;1;2018;10.5;V;1;2016;12 675;V;1;2019
15003215;10;V;2;2021;10;V;2;2018;10;V;2;2016;11.4;V;1;2019;10;V;2;2020;8;AC;2;2021;9.9;AC;2;2021;10;V;1;2019;10;V;2;2017;10;V;2;2019;10;V;2;2020;10;V;2;2017;10 375;V;1;2016;10 063;V;2;2020
15005062;12;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;10;V;2;2016;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2017;10.75;V;1;2016;5 125;NV;2;2021
15005599;0;NRA;1;2021;0;NRA;1;2021;10.05;V;1;2016;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;3 342;NV;2;2021;10;V;2;2016;0;NRA;1;2021;10;V;1;2016;0;NRA;1;2021;10;V;2;2016;10;V;2;2016;6 667;NV;2;2021
15005732;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;;;1;2021
15005745;10;V;2;2020;0;NRA;1;2021;10.05;V;1;2019;16.5;V;1;2019;10;V;2;2019;0;NRA;1;2021;7 758;NV;2;2021;10;V;2;2016;11 253;V;1;2018;18;V;1;2019;12;V;1;2019;12.5;V;1;2017;10.5;V;1;2016;12 376;V;1;2019
16000092;6 625;NV;2;2021;6 125;NV;2;2021;4.8;NV;2;2021;5.5;NV;2;2021;6;NV;2;2021;10;V;1;2018;6 508;NV;2;2021;0;NRA;1;2021;13;V;1;2019;10 075;V;1;2017;10;V;2;2018;13;V;1;2019;10;V;2;2017;9 346;NV;2;2021
16000128;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
16000176;0;NRA;1;2021;0;NRA;1;2021;10 075;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;1 679;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;11.5;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;1 917;NV;2;2021
16000182;10;V;2;2017;0;NRA;1;2021;10.85;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;11.7;V;1;2018;5 425;NV;2;2021;10 444;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;11 875;V;1;2017;12.75;V;1;2017;5 845;NV;2;2021
16000268;4;NV;2;2021;11;V;1;2020;10;V;2;2019;10;V;1;2020;.5;NV;2;2021;11.7;V;1;2019;7 867;NV;2;2021;9;AC;2;2019;10;V;2;2018;10;V;2;2019;10.25;V;1;2019;11.4;V;1;2018;10.5;V;1;2017;10 192;V;2;2019
16000683;0;NRA;1;2021;0;NRA;1;2021;10.05;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;1 675;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
16000815;10;V;2;2021;10;V;2;2020;10;V;2;2020;6.5;NV;2;2021;.25;NV;2;2021;10;V;1;2020;7 792;NV;2;2021;11;V;1;2019;12;V;1;2019;15.6;V;1;2019;10;V;1;2020;10;V;2;2020;10;V;1;2018;11 433;V;2;2020
16000840;0;NRA;1;2021;0;NRA;1;2021;10.05;V;1;2017;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;10.38;V;1;2017;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;17;V;1;2017;4 563;NV;2;2021
16000896;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;15.5;V;1;2019;2 583;NV;2;2021;10;V;2;2018;10;V;2;2018;0;NRA;1;2021;10;V;2;2018;10.6;V;1;2018;0;NRA;1;2021;6 767;NV;2;2021
16001456;10;V;2;2021;10;V;2;2020;10;V;2;2018;12;V;1;2019;7;AC;2;2021;10;V;2;2020;9 833;AC;2;2021;10 164;V;1;2018;10;V;2;2018;8;AC;2;2018;10;V;2;2018;16;V;1;2018;13.75;V;1;2017;11 319;V;2;2018
16002645;10;V;2;2020;11.5;V;1;2020;10;V;1;2020;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;5.25;NV;2;2021;10;V;2;2019;8.6;AC;2;2019;11.1;V;1;2019;11;V;1;2019;10;V;2;2019;10;V;2;2019;10 117;V;2;2019
16004640;9.5;AC;2;2018;11.45;V;1;2018;10.4;V;1;2017;13.35;V;1;2018;13.7;V;1;2018;10;V;2;2017;11.4;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;10 125;V;1;2018;0;NRA;1;2021;11;V;1;2017;0;NRA;1;2021;3 521;NV;2;2021
16005950;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;1 667;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;10.4;V;1;2018;12.75;V;1;2017;5 525;NV;2;2021
17004303;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;;;1;2021
17004847;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
17004850;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;;;1;2021
17004892;15.25;V;1;2018;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;4 208;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
17005130;10;V;2;2020;10;V;2;2020;10;V;2;2020;1;NV;2;2021;1;NV;2;2021;10;V;2;2020;7;NV;2;2021;13;V;1;2019;12.8;V;1;2019;15.6;V;1;2019;10;V;1;2020;10;V;2;2020;11;V;1;2019;12 067;V;2;2020
17005196;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;;;0;NRA;1;2021;;;1;2021
17005235;12 375;V;1;2018;8 849;AC;2;2018;10 225;V;1;2018;11.5;V;1;2018;13.4;V;1;2018;16.6;V;1;2018;12 158;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
17005274;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
17005294;10;V;2;2018;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;3 333;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;10.5;V;1;2018;;;1;2021
17005369;10;V;2;2018;0;NRA;1;2021;10.1;V;1;2018;0;NRA;1;2021;0;NRA;1;2021;12.4;V;1;2019;5 417;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;11;V;1;2019;1 833;NV;2;2021
17005433;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;1;2021
17005491;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;;;;;0;NRA;1;2021;;;;;;;;;;;;;0;NRA;1;2021;;;1;2021
17005503;0;NRA;1;2021;10;V;2;2020;10;V;2;2019;10;V;1;2020;0;NRA;1;2021;0;NRA;1;2021;5;NV;2;2021;10;V;1;2019;10.4;V;1;2019;16.7;V;1;2019;10.5;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;7 933;NV;2;2021
17005516;10;V;2;2020;12;V;1;2020;10;V;2;2020;11;V;1;2020;2.5;NV;2;2021;6;NV;2;2021;8 583;NV;2;2021;7;AC;2;2020;10;V;2;2019;16.66;V;1;2019;10;V;1;2020;11;V;1;2019;10;V;1;2018;10 777;V;2;2020
17005624;3 165;NV;2;2021;;;;;;;;;.5;NV;2;2021;;;;;.25;NV;2;2021;;;1;2021;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;1;2021
17005671;10;V;2;2020;10;V;2;2021;10;V;2;2019;11;V;1;2020;10;V;2;2020;10;V;2;2021;10 167;V;2;2021;10;V;2;2020;10;V;2;2019;10;V;2;2019;12;V;1;2020;10.5;V;1;2020;11;V;1;2019;10 583;V;2;2020
17005710;7;AC;2;2021;10;V;2;2021;10;V;2;2019;10;V;1;2020;10;V;2;2020;13.4;V;1;2019;10 067;V;2;2021;10;V;2;2020;10.8;V;1;2019;16.7;V;1;2019;10;V;2;2020;12.5;V;1;2020;10;V;2;2020;11 667;V;2;2020
17005716;11 625;V;1;2018;7;AC;2;2019;11 025;V;1;2018;8.95;AC;2;2019;10 125;V;1;2019;12.5;V;1;2019;10 204;V;2;2019;10;V;2;2019;13.8;V;1;2019;7.75;AC;2;2021;12.5;V;1;2019;14;V;1;2019;13.5;V;1;2018;11 925;V;2;2021
17005722;6.5;NV;2;2021;10;V;2;2020;10;V;2;2021;1.5;NV;2;2021;6.5;NV;2;2021;3;NV;2;2021;6.25;NV;2;2021;7;NV;2;2021;3 775;NV;2;2021;2;NV;2;2021;10;V;1;2020;8.25;NV;2;2021;10;V;2;2020;6 838;NV;2;2021
17005814;10;V;2;2020;0;NRA;1;2021;10;V;2;2019;10;V;2;2020;0;NRA;1;2021;10.1;V;1;2019;6 683;NV;2;2021;14;V;1;2019;11;V;1;2019;19;V;1;2019;10;V;2;2019;10;V;2;2019;12;V;1;2019;12 667;V;2;2019
17005817;12 375;V;1;2020;0;NRA;1;2021;10.5;V;1;2020;10.5;V;1;2021;12;V;1;2021;0;NRA;1;2021;7 563;NV;2;2021;10;V;2;2020;10;V;2;2018;12.22;V;1;2019;16;V;1;2019;16;V;1;2019;14;V;1;2019;13 037;V;2;2020
17005842;10;V;2;2021;10;V;2;2021;10;V;2;2020;10.25;V;1;2021;14;V;1;2021;13.5;V;1;2021;11 292;V;2;2021;13;V;1;2019;13;V;1;2019;19;V;1;2019;10;V;2;2020;10;V;2;2020;12;V;1;2019;12 833;V;2;2020
17005856;0;NRA;1;2021;10 199;V;1;2018;10 875;V;1;2018;0;NRA;1;2021;10;V;2;2018;13.1;V;1;2018;7 362;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
17005882;;;;;;;;;5;NV;2;2021;;;;;;;;;0;NRA;1;2021;;;1;2021;8;NV;2;2021;15.8;V;1;2019;17.77;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;6 928;NV;2;2021
17005897;10;V;2;2021;10;V;2;2020;10;V;2;2019;10;V;2;2020;4.5;NV;2;2021;10;V;2;2021;9 083;NV;2;2021;10;V;2;2019;10;V;1;2019;8.4;AC;2;2020;10;V;2;2020;9;AC;2;2020;14;V;1;2019;10 233;V;2;2020
17005948;6;NV;2;2021;10;V;2;2020;10;V;2;2019;10;V;1;2020;1.5;NV;2;2021;3;NV;2;2021;6.75;NV;2;2021;14;V;1;2019;14.4;V;1;2019;10;V;2;2020;10;V;2;2019;13;V;1;2020;11.5;V;1;2020;12.15;V;2;2020
17006031;10 625;V;1;2020;10;V;2;2020;10;V;2;2019;2.5;NV;2;2021;10;V;2;2021;10;V;2;2020;8 854;NV;2;2021;10;V;1;2020;12 925;V;1;2020;18;V;1;2020;10;V;1;2020;12;V;1;2020;14.75;V;1;2020;12 946;V;1;2020
17006036;10;V;2;2021;10;V;1;2020;7.3;AC;2;2021;10.6;V;1;2019;11;V;1;2020;10;V;2;2020;9 817;AC;2;2021;14;V;1;2021;7;AC;2;2021;10;V;2;2021;10;V;2;2021;10;V;2;2021;11.25;V;1;2021;10 375;V;2;2021
17006084;;;;;;;;;0;NRA;1;2021;;;;;;;;;;;;;;;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;;;1;2021
17006087;0;NRA;1;2021;0;NRA;1;2021;10;V;2;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;1 667;NV;2;2021;10;V;2;2018;0;NRA;1;2021;10;V;2;2018;10;V;2;2019;10;V;2;2019;13.5;V;1;2018;8 917;NV;2;2021
17006093;0;NRA;1;2021;0;NRA;1;2021;12;V;1;2018;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;2;NV;2;2021;10;V;2;2018;10;V;2;2018;10;V;2;2018;8.25;AC;2;2018;12.3;V;1;2018;15;V;1;2018;10 925;V;2;2018
17006102;10;V;2;2020;10;V;2;2020;10;V;2;2019;10;V;2;2020;1;NV;2;2021;6;NV;2;2021;7 833;NV;2;2021;14;V;1;2019;13.8;V;1;2019;13;V;1;2019;13;V;1;2019;14;V;1;2019;14 375;V;1;2018;13 696;V;1;2019
17006121;8;AC;2;2021;10;V;2;2020;10;V;2;2019;10;V;2;2020;8;AC;2;2021;10;V;2;2020;9 333;AC;2;2021;10;V;1;2021;10;V;1;2019;10 875;V;1;2021;10;V;2;2019;13.5;V;1;2020;10;V;1;2021;10 729;V;1;2021
17006320;10;V;2;2020;1.75;NV;2;2021;10;V;2;2019;10.5;V;1;2020;.25;NV;2;2021;10;V;1;2020;7 083;NV;2;2021;10;V;2;2019;11.2;V;1;2019;10;V;2;2020;10;V;2;2019;12.5;V;1;2020;10;V;2;2020;10 617;V;2;2020
17007672;10;V;2;2020;10;V;2;2020;11;V;1;2020;5;NV;2;2021;0;NRA;1;2021;10;V;1;2020;7 667;NV;2;2021;10;V;2;2019;11.8;V;1;2019;10;V;2;2020;10;V;2;2020;10.5;V;1;2020;11.5;V;1;2018;10 633;V;2;2020
17008735;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021
17009909;4;NV;2;2021;2.6;NV;2;2021;10;V;2;2020;0;NRA;1;2021;;;;;.5;NV;2;2021;;;1;2021;10;V;2;2019;10;V;1;2019;0;NRA;1;2021;10;V;2;2020;11.5;V;1;2020;10;V;2;2019;8 583;NV;2;2021
17011785;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;1;2021;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;14.25;V;1;2018;;;1;2021
18001839;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;1;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2021
18002165;10;V;2;2020;10;V;2;2020;10;V;1;2020;.5;NV;2;2021;4;NV;2;2021;10;V;2;2020;7 417;NV;2;2021;10;V;2;2020;10.2;V;1;2019;14.4;V;1;2019;13.5;V;1;2019;10;V;1;2020;10;V;1;2020;11.35;V;2;2020
18002372;10;V;2;2020;10;V;2;2020;10;V;2;2019;10;V;1;2020;10;V;2;2021;6.5;NV;2;2021;9 417;NV;2;2021;12;V;1;2019;15.4;V;1;2019;18;V;1;2019;14.5;V;1;2019;13;V;1;2020;13.5;V;1;2019;14.4;V;1;2020
18002395;8;AC;2;2021;10;V;2;2021;10;V;2;2020;15;V;1;2021;10;V;2;2021;8;AC;2;2021;10 167;V;2;2021;10;V;2;2019;10.4;V;1;2019;10;V;2;2020;10;V;2;2020;10;V;2;2020;10;V;2;2019;10 067;V;2;2020
18002597;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;1;2021;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021
18002608;10;V;2;2021;10;V;2;2021;10;V;2;2019;10;V;2;2020;10;V;2;2021;10;V;2;2021;10;V;2;2021;12;V;1;2020;10;V;2;2020;10 375;V;1;2021;10;V;2;2020;17.5;V;1;2021;10;V;2;2020;11 646;V;1;2021
18002615;11;V;1;2021;14.2;V;1;2021;12.1;V;1;2021;19;V;1;2021;11;V;1;2020;10.5;V;1;2020;12 967;V;1;2021;10;V;2;2019;10.2;V;1;2019;11 563;V;1;2020;11;V;1;2020;16;V;1;2020;11;V;1;2020;11 627;V;1;2020
18002623;10;V;2;2020;0;NRA;1;2021;10;V;2;2019;0;NRA;1;2021;10;V;1;2020;0;NRA;1;2021;5;NV;2;2021;10;V;2;2019;13.6;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;15;V;1;2019;6 433;NV;2;2021
18002644;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;1;2021;;;;;;;;;0;NRA;1;2021;;;;;;;;;0;NRA;1;2021;;;1;2021
18002664;0;NRA;1;2021;1.4;NV;2;2021;10;V;2;2019;0;NRA;1;2021;10;V;2;2019;0;NRA;1;2021;3 567;NV;2;2021;10;V;2;2019;13.6;V;1;2019;17.8;V;1;2019;12.5;V;1;2019;11;V;1;2019;10;V;2;2019;12 483;V;2;2019
18002716;0;NRA;1;2021;2 625;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;.438;NV;2;2021;0;NRA;1;2021;12.4;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;12.25;V;1;2019;0;NRA;1;2021;4 108;NV;2;2021
18002832;;;;;;;;;;;;;0;NRA;1;2021;;;;;;;;;;;1;2021;;;;;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;1;2021
18002920;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;1;2021
18002985;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NV;2;2021
18003140;10;V;2;2021;10;V;2;2021;11;V;1;2020;9;AC;2;2021;10;V;2;2021;17.5;V;1;2021;11.25;V;2;2021;10;V;2;2020;10;V;2;2021;10;V;2;2021;10;V;2;2020;10;V;1;2020;11.5;V;1;2020;10.25;V;2;2021
18003182;;;;;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;1;2021;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021
18003363;10;V;2;2020;10;V;2;2020;10;V;2;2020;4;NV;2;2021;10;V;2;2021;10;V;2;2020;9;NV;2;2021;13;V;1;2021;10;V;2;2020;9;AC;2;2021;9.25;AC;2;2021;12.5;V;1;2020;11.75;V;1;2020;10 917;V;2;2021
18003539;10;V;2;2021;10;V;2;2020;10;V;2;2020;17.5;V;1;2021;18.5;V;1;2021;18;V;1;2021;14;V;2;2021;13;V;1;2021;10.8;V;1;2021;19.25;V;1;2021;11;V;1;2021;10;V;1;2019;10;V;2;2019;12 342;V;1;2021
18003762;10;V;2;2019;0;NRA;1;2021;0;NRA;1;2021;10.05;V;1;2019;0;NRA;1;2021;10;V;2;2019;5 008;NV;2;2021;0;NRA;1;2021;11;V;1;2019;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;15;V;1;2019;4 333;NV;2;2021
18003766;9.5;AC;2;2021;10;V;2;2020;10;V;2;2019;8.5;AC;2;2021;10;V;2;2021;8;AC;2;2021;9 333;AC;2;2021;10;V;1;2021;7.5;AC;2;2021;10;V;2;2020;12;V;1;2020;10;V;2;2020;10.85;V;1;2021;10 058;V;2;2021
18003778;10;V;2;2020;10;V;2;2021;8.25;NV;2;2021;5.25;NV;2;2021;6.5;NV;2;2021;10;V;2;2020;8 333;NV;2;2021;10;V;2;2020;10;V;2;2020;4;NV;2;2021;6.25;NV;2;2021;0;NRA;1;2021;10;V;2;2020;6 708;NV;2;2021
18003807;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;1;2021;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;;;0;NRA;1;2021;;;1;2021
18003813;10;V;2;2021;10;V;2;2021;10;V;2;2021;10;V;2;2021;10;V;2;2021;;;;;;;1;2021;10;V;1;2020;10;V;2;2020;10;V;2;2020;10;V;2;2020;10;V;2;2020;15;V;1;2020;10 833;V;2;2020
18003822;12.5;V;1;2021;10 625;V;1;2021;10;V;1;2020;15.5;V;1;2021;10.5;V;1;2021;12;V;1;2021;11 854;V;1;2021;18;V;1;2021;11.05;V;1;2021;15.25;V;1;2021;15;V;1;2021;10;V;1;2021;14.85;V;1;2021;14 025;V;1;2021
18003871;9.5;AC;2;2021;10;V;2;2021;12;V;1;2020;10;V;2;2021;10;V;2;2021;7;AC;2;2021;9.75;AC;2;2021;10;V;2;2020;10 313;V;1;2020;10;V;2;2020;10;V;2;2020;15;V;1;2020;13.25;V;1;2020;11 427;V;2;2020
18003944;10;V;2;2021;10;V;2;2021;10.5;V;1;2020;10;V;2;2020;11.5;V;1;2020;7;AC;2;2021;9 833;AC;2;2021;10;V;1;2020;10;V;2;2020;10;V;1;2020;14;V;1;2020;11.25;V;1;2020;16;V;1;2020;11 875;V;2;2020
18004100;10;V;2;2020;10;V;2;2020;10;V;2;2020;10;V;2;2020;8;AC;2;2021;10;V;1;2021;9 667;AC;2;2021;11;V;1;2019;13;V;1;2019;7;AC;2;2020;12;V;1;2020;10.5;V;1;2020;11;V;1;2019;10.75;V;2;2020
18004101;0;NRA;1;2021;10;V;2;2020;10;V;2;2020;10;V;2;2020;0;NRA;1;2021;10;V;2;2020;6 667;NV;2;2021;10;V;2;2019;10.4;V;1;2019;10;V;2;2020;10;V;2;2020;16.5;V;1;2020;13;V;1;2019;11.65;V;2;2020
18004107;0;NRA;1;2021;;;;;0;NRA;1;2021;0;NRA;1;2021;;;;;;;;;;;1;2021;;;;;;;;;;;;;;;;;;;;;0;NRA;1;2021;;;1;2021
18004126;7.5;NV;2;2021;4.63;NV;2;2021;5.15;NV;2;2021;1;NV;2;2021;;;;;;;;;;;1;2021;7;NV;2;2021;5.45;NV;2;2021;5.25;NV;2;2021;10;V;1;2020;10;V;2;2021;0;NRA;1;2021;6 283;NV;2;2021
18004249;0;NRA;1;2021;;;;;10;V;2;2019;0;NRA;1;2021;;;;;0;NRA;1;2021;;;1;2021;;;;;;;;;0;NRA;1;2021;;;;;;;;;;;;;;;1;2021
